source,target,id,weight,description,text_unit_ids,human_readable_id,source_degree,target_degree,rank,edge_details
PROJECT GUTENBERG,A CHRISTMAS CAROL,342f4dfeb87741a8a071ebd19b9fc218,8.0,Project Gutenberg provides free access to A Christmas Carol as part of its digital library offerings.,ec4b1f79225d4475885a33e3aa35b3fc,0,5,10,15,"{'human_readable_id': 0, 'source': 'PROJECT GUTENBERG', 'target': 'A CHRISTMAS CAROL', 'description': 'Project Gutenberg provides free access to A Christmas Carol as part of its digital library offerings.', 'rank': 15}"
PROJECT GUTENBERG,SCROOGE,f2024784ac6541ebb170ab70bacfae26,5.0,"Scrooge's story is part of the collection of works available through Project Gutenberg, highlighting its literary significance",af05331f4a1a4f74bfb46c700cbf9275,1,5,86,91,"{'human_readable_id': 1, 'source': 'PROJECT GUTENBERG', 'target': 'SCROOGE', 'description': ""Scrooge's story is part of the collection of works available through Project Gutenberg, highlighting its literary significance"", 'rank': 91}"
PROJECT GUTENBERG,PROJECT GUTENBERG LITERARY ARCHIVE FOUNDATION,352d061bfcd846748b5d47bf47273210,9.0,The Project Gutenberg Literary Archive Foundation oversees the trademark and royalty payments related to Project Gutenberg worksThe Project Gutenberg Literary Archive Foundation manages and supports the Project Gutenberg organization to ensure its future,"2f28d98a60c74c1894e310963ec64455,47138a6d6a684bb7b5b021e74c00ddce",2,5,12,17,"{'human_readable_id': 2, 'source': 'PROJECT GUTENBERG', 'target': 'PROJECT GUTENBERG LITERARY ARCHIVE FOUNDATION', 'description': 'The Project Gutenberg Literary Archive Foundation oversees the trademark and royalty payments related to Project Gutenberg worksThe Project Gutenberg Literary Archive Foundation manages and supports the Project Gutenberg organization to ensure its future', 'rank': 17}"
PROJECT GUTENBERG,COPYRIGHT HOLDER,8ce74662029746f79b8641fbdfedcb70,8.0,The copyright holder grants permission for the use of their work under the terms specified in the Project Gutenberg License,47138a6d6a684bb7b5b021e74c00ddce,3,5,1,6,"{'human_readable_id': 3, 'source': 'PROJECT GUTENBERG', 'target': 'COPYRIGHT HOLDER', 'description': 'The copyright holder grants permission for the use of their work under the terms specified in the Project Gutenberg License', 'rank': 6}"
PROJECT GUTENBERG,U.S. COPYRIGHT LAW,529eeafa76204f9caa0c644e28d0e72c,9.0,"Project Gutenberg works must comply with U.S. copyright law, affecting how they can be shared and used",47138a6d6a684bb7b5b021e74c00ddce,4,5,1,6,"{'human_readable_id': 4, 'source': 'PROJECT GUTENBERG', 'target': 'U.S. COPYRIGHT LAW', 'description': 'Project Gutenberg works must comply with U.S. copyright law, affecting how they can be shared and used', 'rank': 6}"
CHARLES DICKENS,A CHRISTMAS CAROL,80d5e463860747f0ac49cfaceb34daa5,10.0,"Charles Dickens is the author of A Christmas Carol, which is a significant work in his literary career.",ec4b1f79225d4475885a33e3aa35b3fc,5,1,10,11,"{'human_readable_id': 5, 'source': 'CHARLES DICKENS', 'target': 'A CHRISTMAS CAROL', 'description': 'Charles Dickens is the author of A Christmas Carol, which is a significant work in his literary career.', 'rank': 11}"
A CHRISTMAS CAROL,ARTHUR RACKHAM,7b34abfd8a3a45f293f2633cda9ca5aa,7.0,Arthur Rackham illustrated the edition of A Christmas Carol referenced in the Project Gutenberg eBook.,ec4b1f79225d4475885a33e3aa35b3fc,6,10,1,11,"{'human_readable_id': 6, 'source': 'A CHRISTMAS CAROL', 'target': 'ARTHUR RACKHAM', 'description': 'Arthur Rackham illustrated the edition of A Christmas Carol referenced in the Project Gutenberg eBook.', 'rank': 11}"
A CHRISTMAS CAROL,EBENEZER SCROOGE,4adf6d8108154973b62c84bc4925c584,10.0,"Ebenezer Scrooge is the main character in A Christmas Carol, central to its themes of redemption.",ec4b1f79225d4475885a33e3aa35b3fc,7,10,10,20,"{'human_readable_id': 7, 'source': 'A CHRISTMAS CAROL', 'target': 'EBENEZER SCROOGE', 'description': 'Ebenezer Scrooge is the main character in A Christmas Carol, central to its themes of redemption.', 'rank': 20}"
A CHRISTMAS CAROL,BOB CRATCHIT,9a3085ec718248a8ab1af723cc6869b9,9.0,"Bob Cratchit is a significant character in A Christmas Carol, representing the impact of Scrooge's actions on the poor.",ec4b1f79225d4475885a33e3aa35b3fc,8,10,14,24,"{'human_readable_id': 8, 'source': 'A CHRISTMAS CAROL', 'target': 'BOB CRATCHIT', 'description': ""Bob Cratchit is a significant character in A Christmas Carol, representing the impact of Scrooge's actions on the poor."", 'rank': 24}"
A CHRISTMAS CAROL,FRED,e8fc47d888ae4575b9318b4eb4ce3857,8.0,"Fred is a character in A Christmas Carol who contrasts with Scrooge's character, emphasizing the importance of family and generosity.",ec4b1f79225d4475885a33e3aa35b3fc,9,10,6,16,"{'human_readable_id': 9, 'source': 'A CHRISTMAS CAROL', 'target': 'FRED', 'description': ""Fred is a character in A Christmas Carol who contrasts with Scrooge's character, emphasizing the importance of family and generosity."", 'rank': 16}"
A CHRISTMAS CAROL,GHOST OF CHRISTMAS PAST,51e6edc84c7c4d18936501d0a8931465,9.0,"The Ghost of Christmas Past is one of the spirits that visit Scrooge in A Christmas Carol, playing a crucial role in his transformation.",ec4b1f79225d4475885a33e3aa35b3fc,10,10,7,17,"{'human_readable_id': 10, 'source': 'A CHRISTMAS CAROL', 'target': 'GHOST OF CHRISTMAS PAST', 'description': 'The Ghost of Christmas Past is one of the spirits that visit Scrooge in A Christmas Carol, playing a crucial role in his transformation.', 'rank': 17}"
A CHRISTMAS CAROL,GHOST OF CHRISTMAS PRESENT,cc2e66e6a675454a9e06429d6352cb17,9.0,"The Ghost of Christmas Present is another spirit that visits Scrooge in A Christmas Carol, highlighting the joys and struggles of others.",ec4b1f79225d4475885a33e3aa35b3fc,11,10,12,22,"{'human_readable_id': 11, 'source': 'A CHRISTMAS CAROL', 'target': 'GHOST OF CHRISTMAS PRESENT', 'description': 'The Ghost of Christmas Present is another spirit that visits Scrooge in A Christmas Carol, highlighting the joys and struggles of others.', 'rank': 22}"
A CHRISTMAS CAROL,GHOST OF CHRISTMAS YET TO COME,daca3637059b454eba47fc516bb41594,9.0,"The Ghost of Christmas Yet to Come is the final spirit that visits Scrooge in A Christmas Carol, showing him the consequences of his life choices.",ec4b1f79225d4475885a33e3aa35b3fc,12,10,6,16,"{'human_readable_id': 12, 'source': 'A CHRISTMAS CAROL', 'target': 'GHOST OF CHRISTMAS YET TO COME', 'description': 'The Ghost of Christmas Yet to Come is the final spirit that visits Scrooge in A Christmas Carol, showing him the consequences of his life choices.', 'rank': 16}"
