id,name,type,description,human_readable_id,graph_embedding,text_unit_ids
cb82fcaaf5114a22a496f8e211df3413,COCA-COLA BEVERAGES VIETNAM LIMITED,ORGANIZATION,"Coca-Cola Beverages Vietnam Limited is a subsidiary of The Coca-Cola Company, involved in the production and distribution of Coca-Cola products in Vietnam.",0,,eb63940a335548c594499bcec2b8b727
821c0677110e48888596eda95cadfb4f,INTER-K JOINT STOCK COMPANY,ORGANIZATION,"Inter-K Joint Stock Company is a company involved in various business activities, including collaboration with Coca-Cola Beverages Vietnam Limited.",1,,eb63940a335548c594499bcec2b8b727
1917fe1b1f2743b0b681cbbf565bf7af,NGUYEN VAN HUY,PERSON,Nguyen Van Huy is an individual who contributed to the document by creating and updating it.,2,,eb63940a335548c594499bcec2b8b727
58acac32776d4c4faa720258c850feb7,NGO DINH NHAT HUY,PERSON,Ngo Dinh Nhat Huy is an individual who updated the document's wording.,3,,eb63940a335548c594499bcec2b8b727
32e60eb642cd46b3817443828f96c944,NGUYEN QUANG NHAT,PERSON,Nguyen Quang Nhat is an individual who updated the document multiple times.,4,,eb63940a335548c594499bcec2b8b727
68a36e2768654ee097c433a695299293,DANG THI CAM TIEN,PERSON,Dang Thi Cam Tien is an individual who updated the document's wording.,5,,eb63940a335548c594499bcec2b8b727
c72595cfd9f64bc48d60f18c1c671acd,LE PHAM NGOC TRAM,PERSON,Le Pham Ngoc Tram is an individual who updated the document's wording and logic.,6,,eb63940a335548c594499bcec2b8b727
0c260d4b5f284ac6bc26f74690b579f2,PHAM THUY,PERSON,Pham Thuy is an individual who updated the document.Pham Thuy is a contact person with an email address thuyp@interk.com,7,,"eb63940a335548c594499bcec2b8b727,5885f3c8b107429a8a7ff5e3ff9714f8"
baec6dc9e8104026abaf729760859e0a,LE LUU VIET SON,PERSON,Le Luu Viet Son is a contact person with an email address sonllv@interk.comLe Luu Viet Son is the Data Leader who reviewed and approved the document.,8,,"eb63940a335548c594499bcec2b8b727,5885f3c8b107429a8a7ff5e3ff9714f8"
1013281e9b734dbfa111b3ec2a6d3c31,LE THANG LOI,PERSON,Le Thang Loi is the Digital Solution Delivery Manager for the Distribution Management System (DMS) who reviewed and approved the document.,9,,eb63940a335548c594499bcec2b8b727
8d00e8b43aed446687a40160c45ba475,DINH HOANG HAI,PERSON,Dinh Hoang Hai is an SFA Specialist who reviewed and approved the document.,10,,eb63940a335548c594499bcec2b8b727
44293057126f406f8e0793b042436d56,HO NGOC NHU GUONG,PERSON,Ho Ngoc Nhu Guong is an E-RTM Executive who reviewed and approved the document.,11,,eb63940a335548c594499bcec2b8b727
f5778db485c7412fa6c9137480ff1dc6,VU THAI NGOC,,Vu Thai Ngoc is a contact person with an email address ngocvu@interk.com,12,,"eb63940a335548c594499bcec2b8b727,5885f3c8b107429a8a7ff5e3ff9714f8"
3dab854a12ea4a2dad7418e22382925b,COKE,ORGANIZATION,"COKE is a brand referenced in the context of active brand performance data.Coke is a multinational corporation known for its beverage products and operates under a structured sales and distribution system.Coke is a brand referenced in the context of performance metrics for various product sizes.Coke is a brand of beverages that may be included in the active outlet metrics alongside Nutriboost.Coke is a popular beverage brand known for its carbonated soft drinks, particularly Coca-Cola.",13,,"73c77068e01e48438de3abb74f736af3,09f282e6aa5449afa1a56099c580eeaa,afac43fa2f364295b7364675c5518400,189704e0897640aa94c023351521d856,edf5c99c140d47569a2dd3824f41ac7c"
bf2dac792c904addab76430500bdf45b,KO_MONTH,EVENT,KO Month refers to the reporting period used by Coke for tracking sales and performance metrics.,14,,09f282e6aa5449afa1a56099c580eeaa
925c4c8cb484461187f0f77d99ad9048,SERVICE OUTLET,ORGANIZATION,"The Service Outlet refers to various channels through which services are provided, including drinking, eating, grocery, and wholesale.Service Outlet is a KPI related to Net Sales Revenue in the documentService Outlet refers to the locations where Coke products are sold and monitored for sales performance.Service outlets are locations where products are sold or services are provided, with metrics tracked for performance analysis.",15,,"09f282e6aa5449afa1a56099c580eeaa,91434078c57b4f2f9c74ea580ac94e10,f7ea396c2cda4789bbe9a2bca7bcc3a8,5885f3c8b107429a8a7ff5e3ff9714f8"
89a50847587545c6930f10eae240e030,SALES MANAGER,PERSON,Sales Manager is a role within Coke's organizational structure responsible for overseeing sales operations and strategies.,16,,09f282e6aa5449afa1a56099c580eeaa
6497580153aa456899fcd1faa4e2e93d,SALES REP,PERSON,Sales Rep is a position within Coke responsible for direct sales and customer interactions.,17,,09f282e6aa5449afa1a56099c580eeaa
cc6aa88215854131a0db7018e0a835e9,GOLD OUTLET,GEO,Gold Outlet is a classification of service outlets that meet specific performance criteria set by Coke.Gold Outlet is a classification of service outlets that achieve Must Have SKU (MHS) conditions for Nutriboost products.,18,,"73c77068e01e48438de3abb74f736af3,09f282e6aa5449afa1a56099c580eeaa"
01d480e9e7fe4049abf1bb44013bf320,SILVER OUTLET,GEO,Silver Outlet is a classification of service outlets that meet moderate performance criteria set by Coke.Silver Outlet is a classification of service outlets that achieve Must Have SKU (MHS) conditions for Nutriboost products.,19,,"73c77068e01e48438de3abb74f736af3,09f282e6aa5449afa1a56099c580eeaa"
ece40633f87a4e69aff8c8c6981b36b0,BRONZE OUTLET,GEO,Bronze Outlet is a classification of service outlets that achieve Must Have SKU (MHS) conditions for Nutriboost products.Bronze Outlet is a classification of service outlets that meet basic performance criteria set by Coke.,20,,"73c77068e01e48438de3abb74f736af3,09f282e6aa5449afa1a56099c580eeaa"
da7b90ddb5214859894b74502b2f8ee1,SALES ROUTE,ORGANIZATION,Sales Route refers to the designated paths taken by Sales Reps to visit Service Outlets for sales activities.,21,,09f282e6aa5449afa1a56099c580eeaa
5447a6d934d54b6aa753bfba04f65f37,SFA,ORGANIZATION,SFA (Sales Force Automation) is a system used by Coke to manage sales routes and track sales activities.,22,,09f282e6aa5449afa1a56099c580eeaa
de291d5d4b924b95a99bd238dbd6ca50,MUST HAVE SKU,PRODUCT,Must Have SKU refers to essential products that are required to be stocked by Service Outlets to meet performance standards.,23,,09f282e6aa5449afa1a56099c580eeaa
bddd0bd5281c44dea8acb2d222535300,CONSUMER SKU,PRODUCT,Consumer SKU refers to specific products that are sold directly to consumers in Service Outlets.,24,,09f282e6aa5449afa1a56099c580eeaa
5570703f900444758e2985a8aeff3070,PACK TYPE,PRODUCT,"Pack Type refers to the packaging format of products sold by Coke, such as bottles or cans.",25,,09f282e6aa5449afa1a56099c580eeaa
f863be903dc94188af3b0053ba17472d,PACK SIZE,PRODUCT,Pack Size refers to the quantity or volume of products contained in a single package.,26,,09f282e6aa5449afa1a56099c580eeaa
30b5aeea55c64972b17deabe622a45b0,NUTRIBOOST,ORGANIZATION,"Nutriboost is a brand of consumer products that includes various flavors and is involved in sales through outlets classified as Gold, Silver, and Bronze.",27,,73c77068e01e48438de3abb74f736af3
b71e4485103548f8bccf571dd4625f72,MHS,EVENT,"MHS refers to the Must Have SKU condition that outlets must meet to be classified as Gold, Silver, or Bronze.",28,,73c77068e01e48438de3abb74f736af3
4b375986c57f4e549d6f85fcc8e41fa8,SPRITE,ORGANIZATION,SPRITE is a brand referenced in the context of active brand performance data.Sprite is a lemon-lime flavored soft drink brand owned by Coca-Cola Beverages.Sprite is a brand of beverages that may be included in the active outlet metrics alongside Nutriboost.Sprite is a lemon-lime flavored soft drink brand owned by Coca-Cola Company.Sprite is a brand referenced in the context of performance metrics for various product sizes.,29,,"730be08ff471429b9408ebb2d52db381,73c77068e01e48438de3abb74f736af3,afac43fa2f364295b7364675c5518400,189704e0897640aa94c023351521d856,edf5c99c140d47569a2dd3824f41ac7c"
eb1aaf0af32446cc938e1322c1a7a23a,TEA,ORGANIZATION,Tea is a category of beverages that may be included in the active outlet metrics alongside Nutriboost.TEA is a category referenced in the context of active brand performance data.Tea is a category mentioned in the context of performance metrics for various product sizes.,30,,"189704e0897640aa94c023351521d856,73c77068e01e48438de3abb74f736af3,edf5c99c140d47569a2dd3824f41ac7c"
fd60d591eb8d409c97d177ff9474718b,NUTRIBOOST STRAWBERRY,PRODUCT,Nutriboost Strawberry is another specific flavor of Nutriboost consumer SKU available in various quantities for purchase.,31,,73c77068e01e48438de3abb74f736af3
7f05163cbbd647549586e0ec8d9497eb,NUTRIBOOST ORANGE,,,32,,73c77068e01e48438de3abb74f736af3
f15edf7f02aa4dab9c53d84b9de317df,INDEX 2,EVENT,Index 2 is a report or metric related to the performance of various product groups in terms of active outlets and sales data.,33,,deea2cbae880411a985815ea901ddebd
7dba2c6d54bf4f739ba3daaed58496bf,INDEX 3,EVENT,Index 3 is a report that analyzes SKU performance by outlet and order metrics for consumer products.,34,,deea2cbae880411a985815ea901ddebd
191bfe7973844ba99a32a23eae229fbf,INDEX 4,EVENT,Index 4 focuses on tracking new and closed outlets within a specified time frame.,35,,deea2cbae880411a985815ea901ddebd
ffa3f57b64e34237bceb0091cc6b0dc7,INDEX 5,EVENT,Index 5 measures the purity of coolers based on product volume and cooler value.,36,,deea2cbae880411a985815ea901ddebd
