source,target,id,weight,description,text_unit_ids,human_readable_id,source_degree,target_degree,rank,edge_details
COCA-COLA BEVERAGES VIETNAM LIMITED,NGUYEN VAN HUY,b5cdfe85dc594a0f98fb748a9051aa65,7.0,Nguyen Van Huy created and updated the document related to Coca-Cola Beverages Vietnam Limited,eb63940a335548c594499bcec2b8b727,0,12,1,13,"{'human_readable_id': 0, 'source': 'COCA-COLA BEVERAGES VIETNAM LIMITED', 'target': 'NGUYEN VAN HUY', 'description': 'Nguyen Van Huy created and updated the document related to Coca-Cola Beverages Vietnam Limited', 'rank': 13}"
COCA-COLA BEVERAGES VIETNAM LIMITED,NGO DINH NHAT HUY,62c441376371411eaf8f3b3e36a82136,6.0,Ngo Dinh Nhat Huy updated the document related to Coca-Cola Beverages Vietnam Limited,eb63940a335548c594499bcec2b8b727,1,12,1,13,"{'human_readable_id': 1, 'source': 'COCA-COLA BEVERAGES VIETNAM LIMITED', 'target': 'NGO DINH NHAT HUY', 'description': 'Ngo Dinh Nhat Huy updated the document related to Coca-Cola Beverages Vietnam Limited', 'rank': 13}"
COCA-COLA BEVERAGES VIETNAM LIMITED,NGUYEN QUANG NHAT,ed6fc60373584ce0ae9abf54f4423a57,6.0,Nguyen Quang Nhat updated the document related to Coca-Cola Beverages Vietnam Limited,eb63940a335548c594499bcec2b8b727,2,12,1,13,"{'human_readable_id': 2, 'source': 'COCA-COLA BEVERAGES VIETNAM LIMITED', 'target': 'NGUYEN QUANG NHAT', 'description': 'Nguyen Quang Nhat updated the document related to Coca-Cola Beverages Vietnam Limited', 'rank': 13}"
COCA-COLA BEVERAGES VIETNAM LIMITED,DANG THI CAM TIEN,ce1b46c7f01044a8942cdd234a884859,6.0,Dang Thi Cam Tien updated the document related to Coca-Cola Beverages Vietnam Limited,eb63940a335548c594499bcec2b8b727,3,12,1,13,"{'human_readable_id': 3, 'source': 'COCA-COLA BEVERAGES VIETNAM LIMITED', 'target': 'DANG THI CAM TIEN', 'description': 'Dang Thi Cam Tien updated the document related to Coca-Cola Beverages Vietnam Limited', 'rank': 13}"
COCA-COLA BEVERAGES VIETNAM LIMITED,LE PHAM NGOC TRAM,07c10dbc4b8d44f89f850ceaad6080f6,6.0,Le Pham Ngoc Tram updated the document related to Coca-Cola Beverages Vietnam Limited,eb63940a335548c594499bcec2b8b727,4,12,1,13,"{'human_readable_id': 4, 'source': 'COCA-COLA BEVERAGES VIETNAM LIMITED', 'target': 'LE PHAM NGOC TRAM', 'description': 'Le Pham Ngoc Tram updated the document related to Coca-Cola Beverages Vietnam Limited', 'rank': 13}"
COCA-COLA BEVERAGES VIETNAM LIMITED,PHAM THUY,c60ddc19608944c1b8186d9595444ec6,6.0,Pham Thuy updated the document related to Coca-Cola Beverages Vietnam Limited,eb63940a335548c594499bcec2b8b727,5,12,6,18,"{'human_readable_id': 5, 'source': 'COCA-COLA BEVERAGES VIETNAM LIMITED', 'target': 'PHAM THUY', 'description': 'Pham Thuy updated the document related to Coca-Cola Beverages Vietnam Limited', 'rank': 18}"
COCA-COLA BEVERAGES VIETNAM LIMITED,INTER-K JOINT STOCK COMPANY,ef874404a3d44d1a97ff8632b15e9ec1,1.0,Inter-K Joint Stock Company collaborated with Coca-Cola Beverages Vietnam Limited on the report,eb63940a335548c594499bcec2b8b727,6,12,1,13,"{'human_readable_id': 6, 'source': 'COCA-COLA BEVERAGES VIETNAM LIMITED', 'target': 'INTER-K JOINT STOCK COMPANY', 'description': 'Inter-K Joint Stock Company collaborated with Coca-Cola Beverages Vietnam Limited on the report', 'rank': 13}"
COCA-COLA BEVERAGES VIETNAM LIMITED,VU THAI NGOC,24f7e88225f84853a63c2fba59375ddb,6.0,Vu Thai Ngoc reviewed and approved the document related to Coca-Cola Beverages Vietnam Limited,eb63940a335548c594499bcec2b8b727,7,12,6,18,"{'human_readable_id': 7, 'source': 'COCA-COLA BEVERAGES VIETNAM LIMITED', 'target': 'VU THAI NGOC', 'description': 'Vu Thai Ngoc reviewed and approved the document related to Coca-Cola Beverages Vietnam Limited', 'rank': 18}"
COCA-COLA BEVERAGES VIETNAM LIMITED,LE LUU VIET SON,d79ad682107e40c88d2a4458edd4d7f6,6.0,Le Luu Viet Son reviewed and approved the document related to Coca-Cola Beverages Vietnam Limited,eb63940a335548c594499bcec2b8b727,8,12,6,18,"{'human_readable_id': 8, 'source': 'COCA-COLA BEVERAGES VIETNAM LIMITED', 'target': 'LE LUU VIET SON', 'description': 'Le Luu Viet Son reviewed and approved the document related to Coca-Cola Beverages Vietnam Limited', 'rank': 18}"
COCA-COLA BEVERAGES VIETNAM LIMITED,LE THANG LOI,fe7a86c3669a42e0886b4846d3ba8afe,6.0,Le Thang Loi reviewed and approved the document related to Coca-Cola Beverages Vietnam Limited,eb63940a335548c594499bcec2b8b727,9,12,1,13,"{'human_readable_id': 9, 'source': 'COCA-COLA BEVERAGES VIETNAM LIMITED', 'target': 'LE THANG LOI', 'description': 'Le Thang Loi reviewed and approved the document related to Coca-Cola Beverages Vietnam Limited', 'rank': 13}"
