covariate_type,subject_id,subject_type,object_id,object_type,type,status,start_date,end_date,description,source_text,doc_id,record_id,id,human_readable_id,claim_details
,BOB CRATCHIT,,NONE,,CHRISTMAS CELEBRATION,TRUE,NONE,NONE,"Bob Cratchit went down a slide on Cornhill, at the end of a lane of boys, twenty times, in honour of its being Christmas Eve","['Bob Cratchit went down a slide on Cornhill, at the end of a lane of boys, twenty times, in honour of its being Christmas Eve']",d0,,6f7d02accfc449f3864da04f008feafb,0,"{'human_readable_id': 0, 'subject_id': 'BOB CRATCHIT', 'type': 'CHRISTMAS CELEBRATION', 'status': 'TRUE', 'description': 'Bob Cratchit went down a slide on Cornhill, at the end of a lane of boys, twenty times, in honour of its being Christmas Eve'}"
,FEZZIWIG,,NONE,,DANCE,TRUE,NONE,NONE,Then old Fezziwig stood out to dance with Mrs. Fezziwig,['Then old Fezziwig stood out to dance with Mrs. Fezziwig'],d0,,8c13843161bb4d23b6f8665c8f60281e,1,"{'human_readable_id': 1, 'subject_id': 'FEZZIWIG', 'type': 'DANCE', 'status': 'TRUE', 'description': 'Then old Fezziwig stood out to dance with Mrs. Fezziwig'}"
,OLD SCRATCH,,NONE,,MYTHICAL FIGURE,SUSPECTED,NONE,NONE,"Old Scratch has got his own at last, hey?","['Well!"" said the first. ""Old Scratch has got his own at last, hey?""']",d0,,b360b7951a6d41ceb54aba5dd3e75e94,2,"{'human_readable_id': 2, 'subject_id': 'OLD SCRATCH', 'type': 'MYTHICAL FIGURE', 'status': 'SUSPECTED', 'description': 'Old Scratch has got his own at last, hey?'}"
,UNKNOWN,,NONE,,MYSTERY,SUSPECTED,NONE,NONE,"Nobody under the bed; nobody in the closet; nobody in his dressing-gown, which was hanging up in a suspicious attitude against the wall","['Nobody under the bed; nobody in the closet; nobody in his dressing-gown, which was hanging up in a suspicious attitude against the wall']",d0,,b4fcd1d2de5945f4a34668c2f518246e,3,"{'human_readable_id': 3, 'subject_id': 'UNKNOWN', 'type': 'MYSTERY', 'status': 'SUSPECTED', 'description': 'Nobody under the bed; nobody in the closet; nobody in his dressing-gown, which was hanging up in a suspicious attitude against the wall'}"
,PHANTOMS,,NONE,,SUPERNATURAL,SUSPECTED,NONE,NONE,"The air was filled with phantoms, wandering hither and thither in restless haste and moaning as they went","['The air was filled with phantoms, wandering hither and thither in restless haste and moaning as they went']",d0,,b71f6122defe43d981522758bcaf5e97,4,"{'human_readable_id': 4, 'subject_id': 'PHANTOMS', 'type': 'SUPERNATURAL', 'status': 'SUSPECTED', 'description': 'The air was filled with phantoms, wandering hither and thither in restless haste and moaning as they went'}"
,BED-CURTAINS,,NONE,,ITEM,SUSPECTED,NONE,NONE,"You don't mean to say you took 'em down, rings and all, with him lying there?","[""You don't mean to say you took 'em down, rings and all, with him lying there?""]",d0,,b30b988a99b54258ad3d8d405240189d,5,"{'human_readable_id': 5, 'subject_id': 'BED-CURTAINS', 'type': 'ITEM', 'status': 'SUSPECTED', 'description': ""You don't mean to say you took 'em down, rings and all, with him lying there?""}"
,,,,,,,,,No Description,,d0,,3b7ff3b0439249179ec99bec102953de,6,"{'human_readable_id': 6, 'subject_id': '', 'type': None, 'status': None, 'description': 'No Description'}"
,BOISTEROUS GROUP,,NONE,,GATHERING,TRUE,NONE,NONE,A flushed and boisterous group,['A flushed and boisterous group'],d0,,b97f48d014d34efebaecea4c802121e2,7,"{'human_readable_id': 7, 'subject_id': 'BOISTEROUS GROUP', 'type': 'GATHERING', 'status': 'TRUE', 'description': 'A flushed and boisterous group'}"
,CHRISTMAS TOYS,,NONE,,ITEM,TRUE,NONE,NONE,Laden with Christmas toys and presents,['Laden with Christmas toys and presents'],d0,,df58bb2d28144c3d8d8f23d1dbc085a6,8,"{'human_readable_id': 8, 'subject_id': 'CHRISTMAS TOYS', 'type': 'ITEM', 'status': 'TRUE', 'description': 'Laden with Christmas toys and presents'}"
,PLUMP SISTER,,NONE,,CHARACTER,SUSPECTED,NONE,NONE,The way he went after that plump sister in the lace tucker!,['The way he went after that plump sister in the lace tucker!'],d0,,f094cc064dcc47db8e67dfa23fbee9f3,9,"{'human_readable_id': 9, 'subject_id': 'PLUMP SISTER', 'type': 'CHARACTER', 'status': 'SUSPECTED', 'description': 'The way he went after that plump sister in the lace tucker!'}"
,JOE,,NONE,,MISCELLANEOUS,TRUE,NONE,NONE,"You don't mean to say you took 'em down, rings and all, with him lying there?","[""You don't mean to say you took 'em down, rings and all, with him lying there?""]",d0,,234eee99902d48aa9a3230f76c8a28f5,10,"{'human_readable_id': 10, 'subject_id': 'JOE', 'type': 'MISCELLANEOUS', 'status': 'TRUE', 'description': ""You don't mean to say you took 'em down, rings and all, with him lying there?""}"
,Bob Cratchit,,NONE,,CHRISTMAS CELEBRATION,TRUE,NONE,NONE,"Bob Cratchit went down a slide on Cornhill, at the end of a lane of boys, twenty times, in honour of its being Christmas Eve","['Bob Cratchit went down a slide on Cornhill, at the end of a lane of boys, twenty times, in honour of its being Christmas Eve']",d0,,e7bf04d1d6284dec805eba9bbdb2fd12,11,"{'human_readable_id': 11, 'subject_id': 'Bob Cratchit', 'type': 'CHRISTMAS CELEBRATION', 'status': 'TRUE', 'description': 'Bob Cratchit went down a slide on Cornhill, at the end of a lane of boys, twenty times, in honour of its being Christmas Eve'}"
,Fezziwig,,NONE,,DANCE,TRUE,NONE,NONE,Then old Fezziwig stood out to dance with Mrs. Fezziwig,['Then old Fezziwig stood out to dance with Mrs. Fezziwig'],d0,,4dc2ed7fd5854a55bbc6c910736acfe2,12,"{'human_readable_id': 12, 'subject_id': 'Fezziwig', 'type': 'DANCE', 'status': 'TRUE', 'description': 'Then old Fezziwig stood out to dance with Mrs. Fezziwig'}"
,Old Scratch,,NONE,,MYSTICAL ENTITY,TRUE,NONE,NONE,"Old Scratch has got his own at last, hey?","['Well!"" said the first. ""Old Scratch has got his own at last, hey?""']",d0,,02794519597245b29b7e082c5c3fe710,13,"{'human_readable_id': 13, 'subject_id': 'Old Scratch', 'type': 'MYSTICAL ENTITY', 'status': 'TRUE', 'description': 'Old Scratch has got his own at last, hey?'}"
,Joe,,NONE,,MISCELLANEOUS,TRUE,NONE,NONE,"You don't mean to say you took 'em down, rings and all, with him lying there?","[""You don't mean to say you took 'em down, rings and all, with him lying there?""]",d0,,65d49e1ad437480c8af73323da432ab7,14,"{'human_readable_id': 14, 'subject_id': 'Joe', 'type': 'MISCELLANEOUS', 'status': 'TRUE', 'description': ""You don't mean to say you took 'em down, rings and all, with him lying there?""}"
,Phantoms,,NONE,,SUPERNATURAL ENTITY,TRUE,NONE,NONE,"The air was filled with phantoms, wandering hither and thither in restless haste and moaning as they went","['The air was filled with phantoms, wandering hither and thither in restless haste and moaning as they went']",d0,,729a458b14f74ad6858d7f550c4e8ca8,15,"{'human_readable_id': 15, 'subject_id': 'Phantoms', 'type': 'SUPERNATURAL ENTITY', 'status': 'TRUE', 'description': 'The air was filled with phantoms, wandering hither and thither in restless haste and moaning as they went'}"
,Bed-curtains,,NONE,,MISCELLANEOUS,TRUE,NONE,NONE,"What do you call this? said Joe. Bed-curtains! Ah! returned the woman, laughing.... Bed-curtains!","['What do you call this? said Joe. Bed-curtains! Ah! returned the woman, laughing.... Bed-curtains!']",d0,,536abcc62d4d45a086034ac05e63e281,16,"{'human_readable_id': 16, 'subject_id': 'Bed-curtains', 'type': 'MISCELLANEOUS', 'status': 'TRUE', 'description': 'What do you call this? said Joe. Bed-curtains! Ah! returned the woman, laughing.... Bed-curtains!'}"
,Christmas Eve,,NONE,,HOLIDAY,TRUE,NONE,NONE,"Bob Cratchit went down a slide on Cornhill, at the end of a lane of boys, twenty times, in honour of its being Christmas Eve","['Bob Cratchit went down a slide on Cornhill, at the end of a lane of boys, twenty times, in honour of its being Christmas Eve']",d0,,4012788a411343dfae8250b3e1a94a66,17,"{'human_readable_id': 17, 'subject_id': 'Christmas Eve', 'type': 'HOLIDAY', 'status': 'TRUE', 'description': 'Bob Cratchit went down a slide on Cornhill, at the end of a lane of boys, twenty times, in honour of its being Christmas Eve'}"
,Plump sister,,NONE,,MISCELLANEOUS,TRUE,NONE,NONE,The way he went after that plump sister in the lace tucker!,['The way he went after that plump sister in the lace tucker!'],d0,,637324f836d8439c8f1aa5f656d34d08,18,"{'human_readable_id': 18, 'subject_id': 'Plump sister', 'type': 'MISCELLANEOUS', 'status': 'TRUE', 'description': 'The way he went after that plump sister in the lace tucker!'}"
,CHARLES DICKENS,,NONE,,AUTHORSHIP,TRUE,2007-12-24T00:00:00,2007-12-24T00:00:00,"Charles Dickens is credited as the author of A Christmas Carol, which was released as an eBook on December 24, 2007","['Title: A Christmas Carol, Author: Charles Dickens, Release date: December 24, 2007 [eBook #24022]']",d0,,d4ff287505f141c9a6e077b00480c195,19,"{'human_readable_id': 19, 'subject_id': 'CHARLES DICKENS', 'type': 'AUTHORSHIP', 'status': 'TRUE', 'description': 'Charles Dickens is credited as the author of A Christmas Carol, which was released as an eBook on December 24, 2007'}"
,ARTHUR RACKHAM,,NONE,,ILLUSTRATION,TRUE,2007-12-24T00:00:00,2007-12-24T00:00:00,"Arthur Rackham is credited as the illustrator of A Christmas Carol, which was released as an eBook on December 24, 2007","['Title: A Christmas Carol, Illustrator: Arthur Rackham, Release date: December 24, 2007 [eBook #24022]']",d0,,2d13af14164b440b8b80d77bb327bdf9,20,"{'human_readable_id': 20, 'subject_id': 'ARTHUR RACKHAM', 'type': 'ILLUSTRATION', 'status': 'TRUE', 'description': 'Arthur Rackham is credited as the illustrator of A Christmas Carol, which was released as an eBook on December 24, 2007'}"
,PROJECT GUTENBERG,,NONE,,DISTRIBUTION,TRUE,2007-12-24T00:00:00,2007-12-24T00:00:00,The Project Gutenberg eBook of A Christmas Carol is available for free use under the terms of the Project Gutenberg License,['This ebook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.'],d0,,9050641a731f4a28b0022e973648653a,21,"{'human_readable_id': 21, 'subject_id': 'PROJECT GUTENBERG', 'type': 'DISTRIBUTION', 'status': 'TRUE', 'description': 'The Project Gutenberg eBook of A Christmas Carol is available for free use under the terms of the Project Gutenberg License'}"
,SUZANNE SHELL,,NONE,,CREDITS,TRUE,2007-12-24T00:00:00,2007-12-24T00:00:00,Suzanne Shell is credited for producing the Project Gutenberg eBook of A Christmas Carol,"['Credits: Produced by Suzanne Shell, Janet Blenkinship and the Online Distributed Proofreading Team at http://www.pgdp.net']",d0,,dae6ba0c7ad1412f88fe938042d0afd2,22,"{'human_readable_id': 22, 'subject_id': 'SUZANNE SHELL', 'type': 'CREDITS', 'status': 'TRUE', 'description': 'Suzanne Shell is credited for producing the Project Gutenberg eBook of A Christmas Carol'}"
,JANET BLENKINSHIP,,NONE,,CREDITS,TRUE,2007-12-24T00:00:00,2007-12-24T00:00:00,Janet Blenkinship is credited for producing the Project Gutenberg eBook of A Christmas Carol,"['Credits: Produced by Suzanne Shell, Janet Blenkinship and the Online Distributed Proofreading Team at http://www.pgdp.net']",d0,,c483cd2ef54a4a8aa0a4ed8004125156,23,"{'human_readable_id': 23, 'subject_id': 'JANET BLENKINSHIP', 'type': 'CREDITS', 'status': 'TRUE', 'description': 'Janet Blenkinship is credited for producing the Project Gutenberg eBook of A Christmas Carol'}"
,ONLINE DISTRIBUTED PROOFREADING TEAM,,NONE,,CREDITS,TRUE,2007-12-24T00:00:00,2007-12-24T00:00:00,The Online Distributed Proofreading Team is credited for producing the Project Gutenberg eBook of A Christmas Carol,"['Credits: Produced by Suzanne Shell, Janet Blenkinship and the Online Distributed Proofreading Team at http://www.pgdp.net']",d0,,a745e8fd297f4b0ca214b8e37739891f,24,"{'human_readable_id': 24, 'subject_id': 'ONLINE DISTRIBUTED PROOFREADING TEAM', 'type': 'CREDITS', 'status': 'TRUE', 'description': 'The Online Distributed Proofreading Team is credited for producing the Project Gutenberg eBook of A Christmas Carol'}"
,J. B. LIPPINCOTT COMPANY,,NONE,,PUBLISHER,TRUE,2007-12-24T00:00:00,2007-12-24T00:00:00,J. B. Lippincott Company is credited as the original publisher of A Christmas Carol in 1915,"['Original publication: Philadelphia and New York: J. B. Lippincott Company, 1915']",d0,,ae9bb78493e34d6fa263602b78a57526,25,"{'human_readable_id': 25, 'subject_id': 'J. B. LIPPINCOTT COMPANY', 'type': 'PUBLISHER', 'status': 'TRUE', 'description': 'J. B. Lippincott Company is credited as the original publisher of A Christmas Carol in 1915'}"
,PHILADELPHIA,,NONE,,LOCATION,TRUE,2007-12-24T00:00:00,2007-12-24T00:00:00,Philadelphia is one of the locations where A Christmas Carol was originally published,"['Original publication: Philadelphia and New York: J. B. Lippincott Company, 1915']",d0,,38ad4c0c289e4880aea716949b716b13,26,"{'human_readable_id': 26, 'subject_id': 'PHILADELPHIA', 'type': 'LOCATION', 'status': 'TRUE', 'description': 'Philadelphia is one of the locations where A Christmas Carol was originally published'}"
,NEW YORK,,NONE,,LOCATION,TRUE,2007-12-24T00:00:00,2007-12-24T00:00:00,New York is one of the locations where A Christmas Carol was originally published,"['Original publication: Philadelphia and New York: J. B. Lippincott Company, 1915']",d0,,d77abfeda04d40dd9ea9bd8d257f6241,27,"{'human_readable_id': 27, 'subject_id': 'NEW YORK', 'type': 'LOCATION', 'status': 'TRUE', 'description': 'New York is one of the locations where A Christmas Carol was originally published'}"
,ENGLISH,,NONE,,LANGUAGE,TRUE,2007-12-24T00:00:00,2007-12-24T00:00:00,The language of A Christmas Carol is English,['Language: English'],d0,,2e9bbba97f5a4810960d86dd91691182,28,"{'human_readable_id': 28, 'subject_id': 'ENGLISH', 'type': 'LANGUAGE', 'status': 'TRUE', 'description': 'The language of A Christmas Carol is English'}"
